Drug 1,Drug 2,Interaction Description
Morphine,Propranolol,The risk or severity of adverse effects can be increased when Morphine is combined with Propranolol.
Amlodipine,Propranolol,The risk or severity of adverse effects can be increased when Amlodipine is combined with Propranolol.
Memantine,Propranolol,Memantine may increase the bradycardic activities of Propranolol.
Metoprolol,Atenolol,The risk or severity of adverse effects can be increased when Metoprolol is combined with Atenolol.
Chlorthalidone,Atenolol,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Atenolol.
Bromocriptine,Atenolol,Bromocriptine may increase the atrioventricular blocking (AV block) activities of Atenolol.
Amiodarone,Atenolol,Amiodarone may increase the bradycardic activities of Atenolol.
Amphetamine,Atenolol,Amphetamine may increase the hypotensive activities of Atenolol.
Sildenafil,Atenolol,Sildenafil may increase the antihypertensive activities of Atenolol.
Fentanyl,Atenolol,Fentanyl may increase the bradycardic activities of Atenolol.
Aripiprazole,Atenolol,Aripiprazole may increase the hypotensive activities of Atenolol.
Morphine,Atenolol,The risk or severity of adverse effects can be increased when Morphine is combined with Atenolol.
Memantine,Atenolol,Memantine may increase the bradycardic activities of Atenolol.
Atenolol,Risperidone,Atenolol may increase the hypotensive activities of Risperidone.
Metoprolol,Risperidone,The serum concentration of Risperidone can be increased when it is combined with Metoprolol.
Furosemide,Risperidone,The risk or severity of adverse effects can be increased when Furosemide is combined with Risperidone.
Ciprofloxacin,Risperidone,Ciprofloxacin may increase the QTc-prolonging activities of Risperidone.
Levofloxacin,Risperidone,Levofloxacin may increase the QTc-prolonging activities of Risperidone.
Chlorthalidone,Risperidone,Chlorthalidone may increase the hypotensive activities of Risperidone.
Hydrochlorothiazide,Risperidone,Hydrochlorothiazide may increase the hypotensive activities of Risperidone.
Carvedilol,Risperidone,Carvedilol may increase the hypotensive activities of Risperidone.
Propranolol,Risperidone,Propranolol may increase the hypotensive activities of Risperidone.
Bromocriptine,Risperidone,Bromocriptine may increase the hypotensive activities of Risperidone.
Amiodarone,Risperidone,Amiodarone may increase the hypotensive activities of Risperidone.
Quetiapine,Risperidone,Quetiapine may increase the hypotensive activities of Risperidone.
Pravastatin,Risperidone,The serum concentration of Risperidone can be increased when it is combined with Pravastatin.
Simvastatin,Risperidone,The serum concentration of Risperidone can be increased when it is combined with Simvastatin.
Rosuvastatin,Risperidone,The serum concentration of Risperidone can be increased when it is combined with Rosuvastatin.
Ondansetron,Risperidone,Ondansetron may increase the QTc-prolonging activities of Risperidone.
Amphetamine,Risperidone,Amphetamine may decrease the stimulatory activities of Risperidone.
Tramadol,Risperidone,The risk or severity of adverse effects can be increased when Tramadol is combined with Risperidone.
Morphine,Risperidone,Morphine may increase the hypotensive activities of Risperidone.
Amlodipine,Risperidone,Amlodipine may increase the hypotensive activities of Risperidone.
Lisinopril,Risperidone,Lisinopril may increase the hypotensive activities of Risperidone.
Enalapril,Risperidone,Enalapril may increase the hypotensive activities of Risperidone.
Losartan,Risperidone,Losartan may increase the hypotensive activities of Risperidone.
Olanzapine,Risperidone,The risk or severity of adverse effects can be increased when Olanzapine is combined with Risperidone.
Pregabalin,Risperidone,The therapeutic efficacy of Risperidone can be increased when used in combination with Pregabalin.
Alprazolam,Risperidone,The risk or severity of adverse effects can be increased when Alprazolam is combined with Risperidone.
Lorazepam,Risperidone,The risk or severity of adverse effects can be increased when Lorazepam is combined with Risperidone.
Isosorbide Mononitrate,Risperidone,Isosorbide mononitrate may increase the hypotensive activities of Risperidone.
Atenolol,Quetiapine,The risk or severity of adverse effects can be increased when Atenolol is combined with Quetiapine.
Metoprolol,Quetiapine,The serum concentration of Quetiapine can be increased when it is combined with Metoprolol.
Furosemide,Quetiapine,The risk or severity of adverse effects can be increased when Furosemide is combined with Quetiapine.
Chlorthalidone,Quetiapine,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Quetiapine.
Hydrochlorothiazide,Quetiapine,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Quetiapine.
Carvedilol,Quetiapine,The risk or severity of adverse effects can be increased when Carvedilol is combined with Quetiapine.
Propranolol,Quetiapine,The risk or severity of adverse effects can be increased when Propranolol is combined with Quetiapine.
Escitalopram,Quetiapine,The risk or severity of adverse effects can be increased when Escitalopram is combined with Quetiapine.
Amphetamine,Quetiapine,Amphetamine may decrease the stimulatory activities of Quetiapine.
Fentanyl,Quetiapine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Quetiapine.
Tramadol,Quetiapine,The risk or severity of adverse effects can be increased when Tramadol is combined with Quetiapine.
Aripiprazole,Quetiapine,Aripiprazole may increase the hypotensive activities of Quetiapine.
Morphine,Quetiapine,The risk or severity of adverse effects can be increased when Morphine is combined with Quetiapine.
Amlodipine,Quetiapine,The risk or severity of adverse effects can be increased when Amlodipine is combined with Quetiapine.
Lisinopril,Quetiapine,The risk or severity of adverse effects can be increased when Lisinopril is combined with Quetiapine.
Enalapril,Quetiapine,The risk or severity of adverse effects can be increased when Enalapril is combined with Quetiapine.
Losartan,Quetiapine,The risk or severity of adverse effects can be increased when Losartan is combined with Quetiapine.
Pregabalin,Quetiapine,The therapeutic efficacy of Quetiapine can be increased when used in combination with Pregabalin.
Mirtazapine,Quetiapine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.
Alprazolam,Quetiapine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Quetiapine.
Lorazepam,Quetiapine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Quetiapine.
Cyclobenzaprine,Quetiapine,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Quetiapine.
Gabapentin,Quetiapine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Quetiapine.
Diazepam,Quetiapine,The risk or severity of adverse effects can be increased when Diazepam is combined with Quetiapine.
Isosorbide Mononitrate,Quetiapine,The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Quetiapine.
Atenolol,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Atenolol is combined with Isosorbide mononitrate.
Metoprolol,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Metoprolol is combined with Isosorbide mononitrate.
Furosemide,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Furosemide is combined with Isosorbide mononitrate.
Chlorthalidone,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Isosorbide mononitrate.
Hydrochlorothiazide,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Hydrochlorothiazide is combined with Isosorbide mononitrate.
Propranolol,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Propranolol is combined with Isosorbide mononitrate.
Bromocriptine,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Isosorbide mononitrate.
Aripiprazole,Isosorbide Mononitrate,Aripiprazole may increase the hypotensive activities of Isosorbide mononitrate.
Morphine,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Morphine is combined with Isosorbide mononitrate.
Amlodipine,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Amlodipine is combined with Isosorbide mononitrate.
Lisinopril,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Lisinopril is combined with Isosorbide mononitrate.
Enalapril,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Enalapril is combined with Isosorbide mononitrate.
Losartan,Isosorbide Mononitrate,The risk or severity of adverse effects can be increased when Losartan is combined with Isosorbide mononitrate.
Metoprolol,Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Metoprolol.
Ciprofloxacin,Olanzapine,Ciprofloxacin may increase the QTc-prolonging activities of Olanzapine.
Levofloxacin,Olanzapine,Levofloxacin may increase the QTc-prolonging activities of Olanzapine.
Citalopram,Olanzapine,Citalopram may increase the QTc-prolonging activities of Olanzapine.
Amiodarone,Olanzapine,Amiodarone may increase the QTc-prolonging activities of Olanzapine.
Fluoxetine,Olanzapine,Fluoxetine may increase the QTc-prolonging activities of Olanzapine.
Lovastatin,Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Lovastatin.
Quetiapine,Olanzapine,Quetiapine may increase the QTc-prolonging activities of Olanzapine.
Escitalopram,Olanzapine,Escitalopram may increase the QTc-prolonging activities of Olanzapine.
Pravastatin,Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Pravastatin.
Simvastatin,Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Simvastatin.
Rosuvastatin,Olanzapine,The serum concentration of Olanzapine can be increased when it is combined with Rosuvastatin.
Ondansetron,Olanzapine,Ondansetron may increase the QTc-prolonging activities of Olanzapine.
Amphetamine,Olanzapine,Amphetamine may decrease the stimulatory activities of Olanzapine.
Tramadol,Olanzapine,The risk or severity of adverse effects can be increased when Tramadol is combined with Olanzapine.
Morphine,Olanzapine,The risk or severity of adverse effects can be increased when Morphine is combined with Olanzapine.
Pregabalin,Olanzapine,The therapeutic efficacy of Olanzapine can be increased when used in combination with Pregabalin.
Mirtazapine,Olanzapine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.
Alprazolam,Olanzapine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Olanzapine.
Lorazepam,Olanzapine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Olanzapine.
Lamotrigine,Olanzapine,Lamotrigine may increase the sedative activities of Olanzapine.
Diazepam,Olanzapine,The risk or severity of adverse effects can be increased when Diazepam is combined with Olanzapine.
Cefuroxime,Olanzapine,Cefuroxime can cause a decrease in the absorption of Olanzapine resulting in a reduced serum concentration and potentially a decrease in efficacy.
Clonazepam,Olanzapine,The risk or severity of adverse effects can be increased when Clonazepam is combined with Olanzapine.
Metoprolol,Ondansetron,The serum concentration of Ondansetron can be increased when it is combined with Metoprolol.
Levofloxacin,Ondansetron,Levofloxacin may increase the QTc-prolonging activities of Ondansetron.
Bromocriptine,Ondansetron,Bromocriptine may increase the serotonergic activities of Ondansetron.
Citalopram,Ondansetron,Citalopram may increase the serotonergic activities of Ondansetron.
Quetiapine,Ondansetron,The risk or severity of adverse effects can be increased when Quetiapine is combined with Ondansetron.
Escitalopram,Ondansetron,Escitalopram may increase the serotonergic activities of Ondansetron.
Amphetamine,Ondansetron,Amphetamine may decrease the stimulatory activities of Ondansetron.
Fentanyl,Ondansetron,Fentanyl may increase the serotonergic activities of Ondansetron.
Tramadol,Ondansetron,Tramadol may decrease the analgesic activities of Ondansetron.
Morphine,Ondansetron,The risk or severity of adverse effects can be increased when Morphine is combined with Ondansetron.
Duloxetine,Ondansetron,Duloxetine may increase the serotonergic activities of Ondansetron.
Pregabalin,Ondansetron,The therapeutic efficacy of Ondansetron can be increased when used in combination with Pregabalin.
Mirtazapine,Ondansetron,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.
Alprazolam,Ondansetron,The risk or severity of adverse effects can be increased when Alprazolam is combined with Ondansetron.
Lorazepam,Ondansetron,The risk or severity of adverse effects can be increased when Lorazepam is combined with Ondansetron.
Cyclobenzaprine,Ondansetron,Cyclobenzaprine may increase the serotonergic activities of Ondansetron.
Gabapentin,Ondansetron,The risk or severity of adverse effects can be increased when Gabapentin is combined with Ondansetron.
Diazepam,Ondansetron,The risk or severity of adverse effects can be increased when Diazepam is combined with Ondansetron.
Fluticasone Propionate,Levetiracetam,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Levetiracetam.
Quetiapine,Levetiracetam,The risk or severity of adverse effects can be increased when Quetiapine is combined with Levetiracetam.
Ondansetron,Levetiracetam,The risk or severity of adverse effects can be increased when Ondansetron is combined with Levetiracetam.
Fentanyl,Levetiracetam,The risk or severity of adverse effects can be increased when Fentanyl is combined with Levetiracetam.
Tramadol,Levetiracetam,The risk or severity of adverse effects can be increased when Tramadol is combined with Levetiracetam.
Aripiprazole,Levetiracetam,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Levetiracetam.
Morphine,Levetiracetam,The risk or severity of adverse effects can be increased when Morphine is combined with Levetiracetam.
Olanzapine,Levetiracetam,The risk or severity of adverse effects can be increased when Olanzapine is combined with Levetiracetam.
Pregabalin,Levetiracetam,The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Pregabalin.
Mirtazapine,Levetiracetam,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.
Trazodone,Levetiracetam,The risk or severity of adverse effects can be increased when Trazodone is combined with Levetiracetam.
Alprazolam,Levetiracetam,The risk or severity of adverse effects can be increased when Alprazolam is combined with Levetiracetam.
Lorazepam,Levetiracetam,The risk or severity of adverse effects can be increased when Lorazepam is combined with Levetiracetam.
Cetirizine,Levetiracetam,The risk or severity of adverse effects can be increased when Cetirizine is combined with Levetiracetam.
Lamotrigine,Levetiracetam,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Levetiracetam.
Cyclobenzaprine,Levetiracetam,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Levetiracetam.
Gabapentin,Levetiracetam,The risk or severity of adverse effects can be increased when Gabapentin is combined with Levetiracetam.
Diazepam,Levetiracetam,The risk or severity of adverse effects can be increased when Diazepam is combined with Levetiracetam.
Loratadine,Levetiracetam,The risk or severity of adverse effects can be increased when Loratadine is combined with Levetiracetam.
Risperidone,Levetiracetam,The risk or severity of adverse effects can be increased when Risperidone is combined with Levetiracetam.
Clonazepam,Levetiracetam,The risk or severity of adverse effects can be increased when Clonazepam is combined with Levetiracetam.
Ciprofloxacin,Trazodone,Ciprofloxacin may increase the QTc-prolonging activities of Trazodone.
Levofloxacin,Trazodone,Levofloxacin may increase the QTc-prolonging activities of Trazodone.
Warfarin,Trazodone,Warfarin may decrease the anticoagulant activities of Trazodone.
Citalopram,Trazodone,Citalopram may increase the QTc-prolonging activities of Trazodone.
Fluoxetine,Trazodone,Fluoxetine may increase the QTc-prolonging activities of Trazodone.
Quetiapine,Trazodone,Quetiapine may increase the QTc-prolonging activities of Trazodone.
Escitalopram,Trazodone,Escitalopram may increase the QTc-prolonging activities of Trazodone.
Ondansetron,Trazodone,Ondansetron may increase the QTc-prolonging activities of Trazodone.
Aripiprazole,Trazodone,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Trazodone.
Morphine,Trazodone,The risk or severity of adverse effects can be increased when Morphine is combined with Trazodone.
Olanzapine,Trazodone,The risk or severity of adverse effects can be increased when Olanzapine is combined with Trazodone.
Pregabalin,Trazodone,The therapeutic efficacy of Trazodone can be increased when used in combination with Pregabalin.
Mirtazapine,Trazodone,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Trazodone.
Alprazolam,Trazodone,The risk or severity of adverse effects can be increased when Alprazolam is combined with Trazodone.
Lorazepam,Trazodone,The risk or severity of adverse effects can be increased when Lorazepam is combined with Trazodone.
Gabapentin,Trazodone,The risk or severity of adverse effects can be increased when Gabapentin is combined with Trazodone.
Diazepam,Trazodone,The risk or severity of adverse effects can be increased when Diazepam is combined with Trazodone.
Risperidone,Trazodone,The risk or severity of adverse effects can be increased when Risperidone is combined with Trazodone.
Quetiapine,Cetirizine,The risk or severity of adverse effects can be increased when Quetiapine is combined with Cetirizine.
Ondansetron,Cetirizine,The risk or severity of adverse effects can be increased when Ondansetron is combined with Cetirizine.
Amphetamine,Cetirizine,Amphetamine may decrease the sedative activities of Cetirizine.
Fentanyl,Cetirizine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Cetirizine.
Tramadol,Cetirizine,The risk or severity of adverse effects can be increased when Tramadol is combined with Cetirizine.
Aripiprazole,Cetirizine,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Cetirizine.
Morphine,Cetirizine,The risk or severity of adverse effects can be increased when Morphine is combined with Cetirizine.
Olanzapine,Cetirizine,The risk or severity of adverse effects can be increased when Olanzapine is combined with Cetirizine.
Pregabalin,Cetirizine,The therapeutic efficacy of Cetirizine can be increased when used in combination with Pregabalin.
Mirtazapine,Cetirizine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Cetirizine.
Trazodone,Cetirizine,The risk or severity of adverse effects can be increased when Trazodone is combined with Cetirizine.
Alprazolam,Cetirizine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Cetirizine.
Lorazepam,Cetirizine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Cetirizine.
Cyclobenzaprine,Cetirizine,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Cetirizine.
Gabapentin,Cetirizine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Cetirizine.
Diazepam,Cetirizine,The risk or severity of adverse effects can be increased when Diazepam is combined with Cetirizine.
Risperidone,Cetirizine,The risk or severity of adverse effects can be increased when Risperidone is combined with Cetirizine.
Fluticasone Propionate,Clonazepam,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Clonazepam.
Quetiapine,Clonazepam,The risk or severity of adverse effects can be increased when Quetiapine is combined with Clonazepam.
Ondansetron,Clonazepam,The risk or severity of adverse effects can be increased when Ondansetron is combined with Clonazepam.
Fentanyl,Clonazepam,The risk or severity of adverse effects can be increased when Fentanyl is combined with Clonazepam.
Tramadol,Clonazepam,The risk or severity of adverse effects can be increased when Tramadol is combined with Clonazepam.
Aripiprazole,Clonazepam,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Clonazepam.
Morphine,Clonazepam,The risk or severity of adverse effects can be increased when Morphine is combined with Clonazepam.
Pregabalin,Clonazepam,The therapeutic efficacy of Clonazepam can be decreased when used in combination with Pregabalin.
Mirtazapine,Clonazepam,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Clonazepam.
Trazodone,Clonazepam,The risk or severity of adverse effects can be increased when Trazodone is combined with Clonazepam.
Alprazolam,Clonazepam,The risk or severity of adverse effects can be increased when Alprazolam is combined with Clonazepam.
Lorazepam,Clonazepam,The risk or severity of adverse effects can be increased when Lorazepam is combined with Clonazepam.
Cetirizine,Clonazepam,The risk or severity of adverse effects can be increased when Cetirizine is combined with Clonazepam.
Lamotrigine,Clonazepam,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Clonazepam.
Cyclobenzaprine,Clonazepam,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Clonazepam.
Gabapentin,Clonazepam,The risk or severity of adverse effects can be increased when Gabapentin is combined with Clonazepam.
Diazepam,Clonazepam,The risk or severity of adverse effects can be increased when Diazepam is combined with Clonazepam.
Loratadine,Clonazepam,The risk or severity of adverse effects can be increased when Loratadine is combined with Clonazepam.
Risperidone,Clonazepam,The risk or severity of adverse effects can be increased when Risperidone is combined with Clonazepam.
Carvedilol,Lamotrigine,Carvedilol may increase the hypotensive activities of Lamotrigine.
Metformin,Lamotrigine,The serum concentration of Lamotrigine can be increased when it is combined with Metformin.
Quetiapine,Lamotrigine,The risk or severity of adverse effects can be increased when Quetiapine is combined with Lamotrigine.
Ondansetron,Lamotrigine,The risk or severity of adverse effects can be increased when Ondansetron is combined with Lamotrigine.
Fentanyl,Lamotrigine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Lamotrigine.
Tramadol,Lamotrigine,The risk or severity of adverse effects can be increased when Tramadol is combined with Lamotrigine.
Aripiprazole,Lamotrigine,The risk or severity of adverse effects can be increased when Aripiprazole is combined with Lamotrigine.
Morphine,Lamotrigine,The risk or severity of adverse effects can be increased when Morphine is combined with Lamotrigine.
Pregabalin,Lamotrigine,The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Pregabalin.
Mirtazapine,Lamotrigine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.
Trazodone,Lamotrigine,The risk or severity of adverse effects can be increased when Trazodone is combined with Lamotrigine.
Alprazolam,Lamotrigine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Lamotrigine.
Lorazepam,Lamotrigine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Lamotrigine.
Cetirizine,Lamotrigine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Lamotrigine.
Cyclobenzaprine,Lamotrigine,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Lamotrigine.
Gabapentin,Lamotrigine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Lamotrigine.
Diazepam,Lamotrigine,The risk or severity of adverse effects can be increased when Diazepam is combined with Lamotrigine.
Loratadine,Lamotrigine,The risk or severity of adverse effects can be increased when Loratadine is combined with Lamotrigine.
Risperidone,Lamotrigine,The risk or severity of adverse effects can be increased when Risperidone is combined with Lamotrigine.
Metoprolol,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Metoprolol.
Bromocriptine,Loratadine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Loratadine.
Quetiapine,Loratadine,The risk or severity of adverse effects can be increased when Quetiapine is combined with Loratadine.
Pravastatin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Pravastatin.
Simvastatin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Simvastatin.
Rosuvastatin,Loratadine,The serum concentration of Loratadine can be increased when it is combined with Rosuvastatin.
Ondansetron,Loratadine,The risk or severity of adverse effects can be increased when Ondansetron is combined with Loratadine.
Amphetamine,Loratadine,Amphetamine may decrease the sedative activities of Loratadine.
Fentanyl,Loratadine,The risk or severity of adverse effects can be increased when Fentanyl is combined with Loratadine.
Tramadol,Loratadine,The risk or severity of adverse effects can be increased when Tramadol is combined with Loratadine.
Morphine,Loratadine,The risk or severity of adverse effects can be increased when Morphine is combined with Loratadine.
Olanzapine,Loratadine,The risk or severity of adverse effects can be increased when Olanzapine is combined with Loratadine.
Pregabalin,Loratadine,The therapeutic efficacy of Loratadine can be increased when used in combination with Pregabalin.
Mirtazapine,Loratadine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Loratadine.
Trazodone,Loratadine,The risk or severity of adverse effects can be increased when Trazodone is combined with Loratadine.
Alprazolam,Loratadine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Loratadine.
Lorazepam,Loratadine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Loratadine.
Cetirizine,Loratadine,The risk or severity of adverse effects can be increased when Cetirizine is combined with Loratadine.
Cyclobenzaprine,Loratadine,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Loratadine.
Gabapentin,Loratadine,The risk or severity of adverse effects can be increased when Gabapentin is combined with Loratadine.
Diazepam,Loratadine,The risk or severity of adverse effects can be increased when Diazepam is combined with Loratadine.
Risperidone,Loratadine,The risk or severity of adverse effects can be increased when Risperidone is combined with Loratadine.
Citalopram,Fentanyl,The risk or severity of adverse effects can be increased when Citalopram is combined with Fentanyl.
Fluoxetine,Fentanyl,The risk or severity of adverse effects can be increased when Fluoxetine is combined with Fentanyl.
Pravastatin,Fentanyl,The serum concentration of Fentanyl can be increased when it is combined with Pravastatin.
Simvastatin,Fentanyl,The serum concentration of Fentanyl can be increased when it is combined with Simvastatin.
Rosuvastatin,Fentanyl,The serum concentration of Fentanyl can be increased when it is combined with Rosuvastatin.
Tramadol,Fentanyl,The risk or severity of adverse effects can be increased when Tramadol is combined with Fentanyl.
Morphine,Fentanyl,The risk or severity of adverse effects can be increased when Morphine is combined with Fentanyl.
Duloxetine,Fentanyl,The risk or severity of adverse effects can be increased when Duloxetine is combined with Fentanyl.
Olanzapine,Fentanyl,The risk or severity of adverse effects can be increased when Olanzapine is combined with Fentanyl.
Pregabalin,Fentanyl,The therapeutic efficacy of Fentanyl can be increased when used in combination with Pregabalin.
Mirtazapine,Fentanyl,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.
Trazodone,Fentanyl,The risk or severity of adverse effects can be increased when Trazodone is combined with Fentanyl.
Alprazolam,Fentanyl,The risk or severity of adverse effects can be increased when Alprazolam is combined with Fentanyl.
Lorazepam,Fentanyl,The risk or severity of adverse effects can be increased when Lorazepam is combined with Fentanyl.
Risperidone,Fentanyl,The risk or severity of adverse effects can be increased when Risperidone is combined with Fentanyl.
Paroxetine,Fentanyl,The risk or severity of adverse effects can be increased when Paroxetine is combined with Fentanyl.
Metoprolol,Tramadol,The serum concentration of Tramadol can be increased when it is combined with Metoprolol.
Warfarin,Tramadol,Warfarin may increase the anticoagulant activities of Tramadol.
Citalopram,Tramadol,Citalopram may increase the neuroexcitatory activities of Tramadol.
Fluoxetine,Tramadol,Fluoxetine may increase the neuroexcitatory activities of Tramadol.
Escitalopram,Tramadol,Escitalopram may increase the neuroexcitatory activities of Tramadol.
Pravastatin,Tramadol,The serum concentration of Tramadol can be increased when it is combined with Pravastatin.
Simvastatin,Tramadol,The serum concentration of Tramadol can be increased when it is combined with Simvastatin.
Rosuvastatin,Tramadol,The serum concentration of Tramadol can be increased when it is combined with Rosuvastatin.
Duloxetine,Tramadol,Duloxetine may increase the neuroexcitatory activities of Tramadol.
Pregabalin,Tramadol,The therapeutic efficacy of Tramadol can be increased when used in combination with Pregabalin.
Mirtazapine,Tramadol,Mirtazapine may increase the neuroexcitatory activities of Tramadol.
Trazodone,Tramadol,The risk or severity of adverse effects can be increased when Trazodone is combined with Tramadol.
Lorazepam,Tramadol,The risk or severity of adverse effects can be increased when Lorazepam is combined with Tramadol.
Cyclobenzaprine,Tramadol,Cyclobenzaprine may increase the neuroexcitatory activities of Tramadol.
Venlafaxine,Tramadol,Venlafaxine may increase the neuroexcitatory activities of Tramadol.
Paroxetine,Tramadol,Paroxetine may increase the neuroexcitatory activities of Tramadol.
Sertraline,Tramadol,Sertraline may increase the neuroexcitatory activities of Tramadol.
Bupropion,Tramadol,The therapeutic efficacy of Tramadol can be decreased when used in combination with Bupropion.
Bromocriptine,Morphine,The risk or severity of adverse effects can be increased when Bromocriptine is combined with Morphine.
Escitalopram,Morphine,Escitalopram may increase the serotonergic activities of Morphine.
Amphetamine,Morphine,The therapeutic efficacy of Morphine can be increased when used in combination with Amphetamine.
Tramadol,Morphine,The risk or severity of adverse effects can be increased when Tramadol is combined with Morphine.
Aripiprazole,Morphine,Aripiprazole may increase the hypotensive activities of Morphine.
Pregabalin,Morphine,The therapeutic efficacy of Morphine can be increased when used in combination with Pregabalin.
Mirtazapine,Morphine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Morphine.
Lorazepam,Morphine,The risk or severity of adverse effects can be increased when Lorazepam is combined with Morphine.
Metoprolol,Escitalopram,The serum concentration of Escitalopram can be increased when it is combined with Metoprolol.
Chlorthalidone,Escitalopram,Chlorthalidone may increase the hyponatremic activities of Escitalopram.
Hydrochlorothiazide,Escitalopram,Hydrochlorothiazide may increase the hyponatremic activities of Escitalopram.
Warfarin,Escitalopram,Warfarin may increase the anticoagulant activities of Escitalopram.
Rosiglitazone,Escitalopram,Rosiglitazone may increase the hypoglycemic activities of Escitalopram.
Pioglitazone,Escitalopram,Pioglitazone may increase the hypoglycemic activities of Escitalopram.
Metformin,Escitalopram,Metformin may increase the hypoglycemic activities of Escitalopram.
Fluticasone Propionate,Escitalopram,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Escitalopram.
Citalopram,Escitalopram,The risk or severity of adverse effects can be increased when Citalopram is combined with Escitalopram.
Fentanyl,Escitalopram,The risk or severity of adverse effects can be increased when Fentanyl is combined with Escitalopram.
Duloxetine,Escitalopram,The risk or severity of adverse effects can be increased when Duloxetine is combined with Escitalopram.
Pregabalin,Escitalopram,The risk or severity of adverse effects can be increased when Pregabalin is combined with Escitalopram.
Mirtazapine,Escitalopram,The risk or severity of adverse effects can be increased when Mirtazapine is combined with Escitalopram.
Alprazolam,Escitalopram,The risk or severity of adverse effects can be increased when Alprazolam is combined with Escitalopram.
Lorazepam,Escitalopram,The risk or severity of adverse effects can be increased when Lorazepam is combined with Escitalopram.
Cetirizine,Escitalopram,The risk or severity of adverse effects can be increased when Cetirizine is combined with Escitalopram.
Lamotrigine,Escitalopram,The risk or severity of adverse effects can be increased when Lamotrigine is combined with Escitalopram.
